Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,46.299999,46.980000,46.040001,46.040001,31.717081,12531500
2019-10-08,46.299999,46.369999,45.320000,45.320000,31.221075,14671300
2019-10-09,45.669998,46.040001,45.330002,45.669998,31.462187,9509400
2019-10-10,46.060001,47.450001,46.060001,47.240002,32.543766,15441700
2019-10-11,48.029999,48.919998,48.000000,48.639999,33.508228,24527700
2019-10-14,48.200001,48.250000,47.560001,47.990002,33.060440,11520400
2019-10-15,47.880001,48.290001,47.529999,47.910000,33.005329,14669700
2019-10-16,47.389999,47.520000,46.639999,46.799999,32.240646,24417100
2019-10-17,46.990002,47.049999,46.610001,46.709999,32.178646,14158400
2019-10-18,46.889999,47.180000,46.020000,46.029999,31.710190,16452100
2019-10-21,46.419998,47.209999,46.259998,47.209999,32.523090,13486800
2019-10-22,47.279999,47.540001,47.099998,47.299999,32.585094,15194800
2019-10-23,47.599998,47.830002,47.029999,47.110001,32.454208,12362800
2019-10-24,47.459999,47.570000,46.520000,46.750000,32.206200,14646600
2019-10-25,47.750000,48.560001,47.549999,48.560001,33.453114,21754000
2019-10-28,48.650002,48.799999,48.340000,48.700001,33.549561,10932200
2019-10-29,48.410000,48.799999,48.080002,48.650002,33.515114,10091200
2019-10-30,48.400002,48.619999,47.689999,48.590000,33.473782,15325200
2019-10-31,48.099998,48.480000,46.860001,47.200001,32.516212,21765000
2019-11-01,47.799999,48.700001,47.759998,48.439999,33.370441,20151300
2019-11-04,49.080002,49.820000,49.080002,49.820000,34.321125,20980000
2019-11-05,50.070000,50.279999,49.430000,49.869999,34.355576,15951200
2019-11-06,49.900002,49.970001,48.900002,49.689999,34.231579,14879300
2019-11-07,49.840000,50.529999,49.540001,50.110001,34.520916,26788900
2019-11-08,49.330002,49.549999,48.810001,49.180000,33.880238,19854000
2019-11-11,48.439999,48.439999,47.959999,48.130001,33.156887,20385800
2019-11-12,48.299999,48.490002,47.900002,47.900002,32.998440,13130500
2019-11-13,47.650002,48.060001,46.970001,47.119999,32.461094,16882100
2019-11-14,47.349998,47.580002,46.959999,47.000000,32.378422,14155900
2019-11-18,47.720001,48.049999,47.480000,47.610001,32.798656,16777800
2019-11-19,48.110001,48.490002,47.720001,48.169998,33.184444,13108100
2019-11-21,47.759998,48.419998,47.700001,48.419998,33.356667,15624200
2019-11-22,48.549999,50.029999,48.549999,50.029999,34.465801,27680500
